CH4,CO2,CO,Health Effect
2.1,213,3,No Health Effect
2.1,293,2,No Health Effect
2.1,268,5,No Health Effect
2,275,6,No Health Effect
2,341,1,No Health Effect
2,249,2,No Health Effect
2,275,0,No Health Effect
2,340,3,No Health Effect
2,241,0,No Health Effect
2,201,5,No Health Effect
2,306,7,No Health Effect
2,201,6,No Health Effect
2,305,0,No Health Effect
2,216,6,No Health Effect
2,339,5,No Health Effect
2,273,1,No Health Effect
2,261,1,No Health Effect
2,259,3,No Health Effect
2,275,0,No Health Effect
2,298,4,No Health Effect
2,274,6,No Health Effect
2,305,1,No Health Effect
2,309,1,No Health Effect
2,320,1,No Health Effect
2,263,1,No Health Effect
2,234,2,No Health Effect
2,226,5,No Health Effect
2,248,6,No Health Effect
2,264,1,No Health Effect
2,229,2,No Health Effect
2,200,1,No Health Effect
2,311,3,No Health Effect
1.9,266,8,No Health Effect
1.9,299,3,No Health Effect
1.9,332,3,No Health Effect
1.9,203,0,No Health Effect
1.9,314,8,No Health Effect
1.9,263,9,No Health Effect
1.9,208,5,No Health Effect
1.9,319,3,No Health Effect
1.9,296,2,No Health Effect
1.9,295,3,No Health Effect
2,268,3,No Health Effect
2,332,4,No Health Effect
2,323,9,No Health Effect
1.9,307,4,No Health Effect
1.9,331,9,No Health Effect
1.9,250,7,No Health Effect
2,209,8,No Health Effect
2,261,9,No Health Effect
2,333,4,No Health Effect
2,205,8,No Health Effect
2,295,5,No Health Effect
2,272,3,No Health Effect
1.9,251,0,No Health Effect
2,259,2,No Health Effect
2,215,8,No Health Effect
2,213,6,No Health Effect
2,201,8,No Health Effect
1.9,300,4,No Health Effect
1.9,292,7,No Health Effect
1.9,247,1,No Health Effect
1.9,343,5,No Health Effect
1.9,242,1,No Health Effect
1.9,239,2,No Health Effect
2,322,7,No Health Effect
2,214,6,No Health Effect
2.1,209,3,No Health Effect
2,289,9,No Health Effect
2,332,6,No Health Effect
2,334,7,No Health Effect
2.2,340,4,No Health Effect
2.2,256,8,No Health Effect
2.2,280,6,No Health Effect
2.2,247,0,No Health Effect
2.2,220,9,No Health Effect
2.3,311,8,No Health Effect
2.3,224,3,No Health Effect
2.4,267,1,No Health Effect
2.4,261,6,No Health Effect
2.5,329,5,No Health Effect
2.4,326,6,No Health Effect
2.3,258,8,No Health Effect
2.1,284,6,No Health Effect
2,298,3,No Health Effect
2,217,4,No Health Effect
2,205,0,No Health Effect
2,224,9,No Health Effect
2,208,7,No Health Effect
2.1,337,8,No Health Effect
2.2,257,2,No Health Effect
2.2,293,4,No Health Effect
2.4,217,5,No Health Effect
2.5,313,7,No Health Effect
2.7,298,3,No Health Effect
2.1,302,6,No Health Effect
2.3,220,0,No Health Effect
2.9,339,2,No Health Effect
2.8,262,5,No Health Effect
2.8,306,1,No Health Effect
2.8,284,1,No Health Effect
2.8,338,3,No Health Effect
2.4,272,2,No Health Effect
2.3,327,4,No Health Effect
2.2,225,0,No Health Effect
2.2,270,6,No Health Effect
2.1,278,8,No Health Effect
2.1,252,6,No Health Effect
2.1,217,7,No Health Effect
2.2,286,8,No Health Effect
2.2,217,3,No Health Effect
2.5,232,7,No Health Effect
2.6,290,1,No Health Effect
2.5,203,6,No Health Effect
3.2,297,0,No Health Effect
2.7,339,0,No Health Effect
2.4,233,7,No Health Effect
2.5,244,6,No Health Effect
2.4,349,6,No Health Effect
2.3,281,9,No Health Effect
2.4,310,3,No Health Effect
2.4,222,8,No Health Effect
2.5,224,7,No Health Effect
2.6,303,6,No Health Effect
2.8,314,3,No Health Effect
3,335,0,No Health Effect
3.3,307,9,No Health Effect
2.4,304,1,No Health Effect
2,212,0,No Health Effect
2.1,216,2,No Health Effect
2,283,8,No Health Effect
2,255,8,No Health Effect
1.9,287,4,No Health Effect
1.9,218,1,No Health Effect
2,214,7,No Health Effect
2.1,211,3,No Health Effect
2.1,291,4,No Health Effect
2.1,228,8,No Health Effect
2,333,9,No Health Effect
2,247,6,No Health Effect
2,249,5,No Health Effect
2,312,4,No Health Effect
2,259,1,No Health Effect
2,206,3,No Health Effect
2,212,6,No Health Effect
2,224,0,No Health Effect
2,347,1,No Health Effect
1.9,286,4,No Health Effect
1.9,321,1,No Health Effect
1.9,260,3,No Health Effect
1.9,310,1,No Health Effect
1.9,272,7,No Health Effect
1.9,260,6,No Health Effect
2,284,4,No Health Effect
2,329,6,No Health Effect
2,293,6,No Health Effect
2,209,4,No Health Effect
2,217,3,No Health Effect
2,325,7,No Health Effect
2,268,3,No Health Effect
2,293,1,No Health Effect
2,281,7,No Health Effect
2,270,7,No Health Effect
2,271,4,No Health Effect
2,331,4,No Health Effect
2,349,9,No Health Effect
2,209,5,No Health Effect
1.9,347,4,No Health Effect
1.9,309,8,No Health Effect
1.9,245,9,No Health Effect
1.9,221,2,No Health Effect
1.9,220,8,No Health Effect
2,349,3,No Health Effect
1.9,291,1,No Health Effect
1.9,323,9,No Health Effect
1.9,238,8,No Health Effect
1.9,237,0,No Health Effect
1.9,278,1,No Health Effect
1.9,251,2,No Health Effect
1.9,218,9,No Health Effect
1.9,277,4,No Health Effect
1.9,305,9,No Health Effect
1.9,345,1,No Health Effect
1.9,273,5,No Health Effect
1.9,337,1,No Health Effect
1.9,298,4,No Health Effect
1.9,235,1,No Health Effect
1.9,289,2,No Health Effect
1.9,239,9,No Health Effect
1.9,239,5,No Health Effect
1.9,248,4,No Health Effect
2,308,8,No Health Effect
2,341,3,No Health Effect
2,283,5,No Health Effect
2,265,8,No Health Effect
2,319,8,No Health Effect
2,286,4,No Health Effect
2,335,9,No Health Effect
2,242,8,No Health Effect
2,297,3,No Health Effect
1.9,261,4,No Health Effect
1.9,327,4,No Health Effect
2,306,1,No Health Effect
2,347,3,No Health Effect
2,321,5,No Health Effect
2,261,1,No Health Effect
2,319,7,No Health Effect
2,341,6,No Health Effect
2,281,6,No Health Effect
2,295,2,No Health Effect
2,230,0,No Health Effect
2,340,6,No Health Effect
2,291,0,No Health Effect
2,309,0,No Health Effect
2,237,0,No Health Effect
2,314,9,No Health Effect
2,268,1,No Health Effect
2,301,0,No Health Effect
2,206,2,No Health Effect
2,204,2,No Health Effect
2,283,0,No Health Effect
1.9,306,0,No Health Effect
2,286,5,No Health Effect
1.9,281,7,No Health Effect
1.9,317,9,No Health Effect
1.9,338,3,No Health Effect
1.9,273,0,No Health Effect
1.9,268,8,No Health Effect
2,240,0,No Health Effect
1.9,254,2,No Health Effect
2,274,6,No Health Effect
2,309,8,No Health Effect
2,204,7,No Health Effect
2,328,3,No Health Effect
2,286,8,No Health Effect
2,210,2,No Health Effect
2,297,7,No Health Effect
2,201,1,No Health Effect
2,336,3,No Health Effect
2,238,2,No Health Effect
2,285,7,No Health Effect
2,322,4,No Health Effect
2,205,8,No Health Effect
2,221,0,No Health Effect
2,349,3,No Health Effect
2,349,1,No Health Effect
2,252,8,No Health Effect
2,286,6,No Health Effect
2,284,0,No Health Effect
2,292,4,No Health Effect
2,329,4,No Health Effect
2,345,6,No Health Effect
2,237,2,No Health Effect
2,233,7,No Health Effect
2,274,8,No Health Effect
2,304,5,No Health Effect
2,237,7,No Health Effect
2,213,9,No Health Effect
2,344,7,No Health Effect
2,250,6,No Health Effect
2,316,2,No Health Effect
2,277,0,No Health Effect
2,304,3,No Health Effect
2,222,8,No Health Effect
2,211,4,No Health Effect
2,264,4,No Health Effect
2,276,4,No Health Effect
2,326,0,No Health Effect
2,338,0,No Health Effect
2,245,0,No Health Effect
2,209,0,No Health Effect
2,298,8,No Health Effect
2,339,8,No Health Effect
2,335,0,No Health Effect
2,205,0,No Health Effect
2,339,0,No Health Effect
2,332,1,No Health Effect
2,254,6,No Health Effect
2,257,0,No Health Effect
2,258,9,No Health Effect
2,212,6,No Health Effect
2,287,6,No Health Effect
2,339,7,No Health Effect
2,268,1,No Health Effect
2,265,5,No Health Effect
2,219,4,No Health Effect
1.9,329,9,No Health Effect
1.9,210,2,No Health Effect
1.9,344,4,No Health Effect
1.9,238,7,No Health Effect
1.9,312,7,No Health Effect
1.9,305,1,No Health Effect
1.9,307,7,No Health Effect
1.9,284,9,No Health Effect
1.9,277,0,No Health Effect
1.9,238,3,No Health Effect
1.9,340,5,No Health Effect
1.9,295,3,No Health Effect
1.9,271,5,No Health Effect
1.9,323,2,No Health Effect
1.9,278,7,No Health Effect
1.9,317,9,No Health Effect
1.9,206,2,No Health Effect
2,230,6,No Health Effect
2,280,5,No Health Effect
2,247,9,No Health Effect
2,220,8,No Health Effect
2,275,1,No Health Effect
2,223,5,No Health Effect
2,349,5,No Health Effect
2,307,8,No Health Effect
2.1,301,1,No Health Effect
2.1,232,3,No Health Effect
2.1,208,7,No Health Effect
2,229,2,No Health Effect
1.9,289,6,No Health Effect
1.9,308,5,No Health Effect
1.9,218,6,No Health Effect
2,349,0,No Health Effect
1.9,308,2,No Health Effect
1.9,293,0,No Health Effect
1.9,226,0,No Health Effect
1.9,289,4,No Health Effect
2,252,1,No Health Effect
2,332,1,No Health Effect
2,232,9,No Health Effect
1.9,253,1,No Health Effect
2,261,0,No Health Effect
2,276,6,No Health Effect
1.9,297,1,No Health Effect
1.9,341,3,No Health Effect
2,322,5,No Health Effect
2,262,3,No Health Effect
2,318,4,No Health Effect
2,287,5,No Health Effect
2,265,3,No Health Effect
2,201,4,No Health Effect
2,209,9,No Health Effect
2,302,5,No Health Effect
1.9,281,2,No Health Effect
2,306,2,No Health Effect
1.9,273,4,No Health Effect
2,222,1,No Health Effect
2,298,5,No Health Effect
1.9,346,9,No Health Effect
2,224,7,No Health Effect
2,276,0,No Health Effect
2,313,1,No Health Effect
1.9,239,4,No Health Effect
2,309,9,No Health Effect
2,220,3,No Health Effect
2,350,7,No Health Effect
2,222,3,No Health Effect
2,211,2,No Health Effect
2,295,4,No Health Effect
2,246,0,No Health Effect
2,322,2,No Health Effect
2,328,4,No Health Effect
2.1,343,1,No Health Effect
2.1,273,6,No Health Effect
2,225,7,No Health Effect
2,210,9,No Health Effect
1.9,227,1,No Health Effect
1.9,333,4,No Health Effect
1.9,252,7,No Health Effect
1.9,212,3,No Health Effect
1.9,252,6,No Health Effect
1.9,260,0,No Health Effect
1.9,334,6,No Health Effect
1.9,336,7,No Health Effect
1.9,307,7,No Health Effect
1.9,260,4,No Health Effect
1.9,232,0,No Health Effect
1.9,259,4,No Health Effect
1.9,307,4,No Health Effect
2,268,6,No Health Effect
2,239,5,No Health Effect
2,317,4,No Health Effect
2,302,9,No Health Effect
2,267,7,No Health Effect
2,336,3,No Health Effect
2,315,0,No Health Effect
2,350,2,No Health Effect
2,244,8,No Health Effect
2.1,349,2,No Health Effect
2.1,252,0,No Health Effect
2,262,7,No Health Effect
2,203,3,No Health Effect
2,337,4,No Health Effect
2,207,7,No Health Effect
2,252,6,No Health Effect
2,267,0,No Health Effect
2,268,4,No Health Effect
2,307,0,No Health Effect
2,221,3,No Health Effect
2.1,257,5,No Health Effect
2.1,250,0,No Health Effect
2,266,5,No Health Effect
2,253,5,No Health Effect
2,335,6,No Health Effect
2,290,1,No Health Effect
2,306,4,No Health Effect
2,268,4,No Health Effect
2,272,6,No Health Effect
2,320,4,No Health Effect
2,206,3,No Health Effect
2,203,8,No Health Effect
2,319,2,No Health Effect
2,289,1,No Health Effect
2,283,7,No Health Effect
2,251,8,No Health Effect
1.9,334,7,No Health Effect
1.9,298,6,No Health Effect
1.9,272,9,No Health Effect
1.9,319,2,No Health Effect
1.9,234,0,No Health Effect
1.9,318,7,No Health Effect
1.9,234,0,No Health Effect
1.9,340,1,No Health Effect
1.9,209,6,No Health Effect
1.9,241,6,No Health Effect
2,338,4,No Health Effect
1.9,323,0,No Health Effect
2,246,9,No Health Effect
2,295,3,No Health Effect
2,294,1,No Health Effect
2,310,1,No Health Effect
2,279,8,No Health Effect
2,203,8,No Health Effect
2,243,4,No Health Effect
2,260,8,No Health Effect
2,235,1,No Health Effect
2,308,8,No Health Effect
2,221,3,No Health Effect
2,272,2,No Health Effect
2,323,6,No Health Effect
2,325,0,No Health Effect
2,223,3,No Health Effect
2,238,0,No Health Effect
2,296,0,No Health Effect
2,350,5,No Health Effect
2,265,1,No Health Effect
2,257,6,No Health Effect
2,310,1,No Health Effect
2,252,2,No Health Effect
2,284,0,No Health Effect
2,262,2,No Health Effect
2,295,7,No Health Effect
2,325,4,No Health Effect
2,278,8,No Health Effect
2,270,5,No Health Effect
2,327,5,No Health Effect
2,202,9,No Health Effect
2,276,0,No Health Effect
2,340,1,No Health Effect
2,279,5,No Health Effect
2,225,5,No Health Effect
2,272,3,No Health Effect
2,270,4,No Health Effect
2,211,3,No Health Effect
2,236,4,No Health Effect
2,249,9,No Health Effect
2,230,8,No Health Effect
2,273,2,No Health Effect
2,296,2,No Health Effect
2.1,328,3,No Health Effect
2.1,310,7,No Health Effect
2.1,330,5,No Health Effect
2.1,256,7,No Health Effect
2.1,205,7,No Health Effect
2.1,237,8,No Health Effect
2.1,282,6,No Health Effect
2.1,287,6,No Health Effect
2.1,233,4,No Health Effect
2.2,320,6,No Health Effect
2.3,241,4,No Health Effect
2.1,205,3,No Health Effect
2,281,0,No Health Effect
1.9,318,6,No Health Effect
1.9,301,4,No Health Effect
1.9,286,1,No Health Effect
1.9,271,7,No Health Effect
1.9,202,2,No Health Effect
1.9,204,6,No Health Effect
1.9,298,7,No Health Effect
2,278,8,No Health Effect
2,321,4,No Health Effect
2.1,323,9,No Health Effect
2.2,252,2,No Health Effect
2.1,241,3,No Health Effect
2.3,238,9,No Health Effect
2.5,346,8,No Health Effect
2.4,326,5,No Health Effect
2.5,214,0,No Health Effect
2.5,216,5,No Health Effect
2.3,237,5,No Health Effect
2.1,204,8,No Health Effect
2.2,302,5,No Health Effect
2.2,274,2,No Health Effect
2.1,244,9,No Health Effect
2.1,261,0,No Health Effect
2.1,219,4,No Health Effect
2,270,0,No Health Effect
2,229,5,No Health Effect
2,278,7,No Health Effect
2.1,279,6,No Health Effect
2.1,301,5,No Health Effect
2.1,209,1,No Health Effect
2.1,276,1,No Health Effect
2,216,7,No Health Effect
2.1,236,1,No Health Effect
2.1,316,1,No Health Effect
2.1,247,2,No Health Effect
2.1,206,2,No Health Effect
2.1,305,7,No Health Effect
2,334,0,No Health Effect
2,200,9,No Health Effect
2,229,6,No Health Effect
2,211,3,No Health Effect
2,239,3,No Health Effect
2,211,9,No Health Effect
2,223,5,No Health Effect
2,257,3,No Health Effect
2,318,7,No Health Effect
2,251,0,No Health Effect
2,262,8,No Health Effect
2,253,1,No Health Effect
2,300,1,No Health Effect
2,294,3,No Health Effect
2,269,6,No Health Effect
2,257,9,No Health Effect
2,266,5,No Health Effect
2,278,9,No Health Effect
2,283,2,No Health Effect
2,279,3,No Health Effect
2,243,5,No Health Effect
2.1,286,4,No Health Effect
2.1,281,2,No Health Effect
2.2,247,1,No Health Effect
2.2,343,6,No Health Effect
2.2,326,1,No Health Effect
2.1,290,1,No Health Effect
2.1,342,1,No Health Effect
2.1,206,9,No Health Effect
2.1,343,3,No Health Effect
2.1,328,3,No Health Effect
2.1,273,2,No Health Effect
2.1,324,6,No Health Effect
2.2,316,3,No Health Effect
2.2,288,7,No Health Effect
2,276,0,No Health Effect
1.9,253,1,No Health Effect
1.9,295,7,No Health Effect
1.9,284,0,No Health Effect
2,261,3,No Health Effect
2,263,6,No Health Effect
2,261,4,No Health Effect
2,224,4,No Health Effect
2.1,231,7,No Health Effect
2.1,201,9,No Health Effect
2.4,302,9,No Health Effect
2.5,293,3,No Health Effect
2.4,306,0,No Health Effect
2.2,320,2,No Health Effect
2.1,238,7,No Health Effect
2,263,6,No Health Effect
1.9,287,2,No Health Effect
2,314,7,No Health Effect
2.1,302,5,No Health Effect
2.4,338,5,No Health Effect
2.2,329,4,No Health Effect
2.2,214,6,No Health Effect
2.1,339,4,No Health Effect
2.1,301,6,No Health Effect
2.1,345,1,No Health Effect
2,288,0,No Health Effect
2,285,8,No Health Effect
2.1,218,3,No Health Effect
2.1,209,4,No Health Effect
2.1,336,7,No Health Effect
2,248,0,No Health Effect
2.2,326,2,No Health Effect
2.3,310,5,No Health Effect
2.3,241,7,No Health Effect
2.2,276,9,No Health Effect
2.3,259,7,No Health Effect
2.3,240,4,No Health Effect
2.2,212,0,No Health Effect
2.1,299,3,No Health Effect
2.1,339,2,No Health Effect
2.3,208,5,No Health Effect
2.2,256,0,No Health Effect
2.1,204,4,No Health Effect
2.1,232,8,No Health Effect
2.1,340,9,No Health Effect
2.2,248,2,No Health Effect
2.4,325,4,No Health Effect
2.4,288,9,No Health Effect
2.1,247,5,No Health Effect
2,277,2,No Health Effect
2,326,9,No Health Effect
2,304,8,No Health Effect
2,231,0,No Health Effect
2,298,4,No Health Effect
1.9,258,5,No Health Effect
2,239,3,No Health Effect
2,294,6,No Health Effect
2,265,0,No Health Effect
2,228,0,No Health Effect
2,347,8,No Health Effect
2,224,5,No Health Effect
2,227,5,No Health Effect
2,303,3,No Health Effect
2,287,1,No Health Effect
2,278,3,No Health Effect
2,314,7,No Health Effect
2,330,2,No Health Effect
2,335,7,No Health Effect
2,347,0,No Health Effect
2,297,5,No Health Effect
2,341,1,No Health Effect
2,259,3,No Health Effect
2,321,3,No Health Effect
2,333,0,No Health Effect
2,216,2,No Health Effect
2,222,3,No Health Effect
2,219,0,No Health Effect
2,308,3,No Health Effect
2,211,3,No Health Effect
2,222,3,No Health Effect
2,259,1,No Health Effect
2,269,5,No Health Effect
2,213,0,No Health Effect
2,327,6,No Health Effect
2,300,4,No Health Effect
2,200,2,No Health Effect
2,244,9,No Health Effect
2,200,8,No Health Effect
2,337,2,No Health Effect
2,207,9,No Health Effect
1.9,301,4,No Health Effect
1.9,285,4,No Health Effect
1.9,240,8,No Health Effect
1.9,229,3,No Health Effect
1.9,286,0,No Health Effect
1.9,297,3,No Health Effect
2,339,3,No Health Effect
1.9,296,5,No Health Effect
1.9,218,7,No Health Effect
1.9,304,7,No Health Effect
1.9,253,3,No Health Effect
1.9,261,9,No Health Effect
1.9,202,8,No Health Effect
1.9,237,8,No Health Effect
1.9,299,7,No Health Effect
1.9,239,2,No Health Effect
1.9,274,1,No Health Effect
1.9,317,5,No Health Effect
1.9,241,8,No Health Effect
1.9,200,5,No Health Effect
1.9,311,2,No Health Effect
1.9,206,7,No Health Effect
1.9,220,4,No Health Effect
2,265,6,No Health Effect
2,316,7,No Health Effect
2,339,3,No Health Effect
2,214,7,No Health Effect
2,274,4,No Health Effect
1.9,301,3,No Health Effect
1.9,233,3,No Health Effect
1.9,306,5,No Health Effect
1.9,263,5,No Health Effect
1.9,307,6,No Health Effect
1.9,305,7,No Health Effect
2,218,4,No Health Effect
1.9,279,7,No Health Effect
2,319,7,No Health Effect
2,346,2,No Health Effect
2,253,0,No Health Effect
2,255,3,No Health Effect
2.1,297,8,No Health Effect
2,276,0,No Health Effect
2.1,237,1,No Health Effect
2,205,6,No Health Effect
2,314,4,No Health Effect
2,230,9,No Health Effect
2,211,1,No Health Effect
2,238,8,No Health Effect
2,224,4,No Health Effect
2,278,5,No Health Effect
2,347,4,No Health Effect
1.9,224,5,No Health Effect
